StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
HDFC Bank Limited,HDFCBANK,2017-06-12,1664.0,1676.0,1660.0,1668.75,1666.8,992853
HDFC Bank Limited,HDFCBANK,2017-06-09,1640.1,1670.0,1640.1,1666.8,1644.75,1326318
HDFC Bank Limited,HDFCBANK,2017-06-08,1643.9,1659.4,1641.65,1644.75,1640.8,1062192
HDFC Bank Limited,HDFCBANK,2017-06-07,1640.4,1644.9,1630.35,1640.8,1638.95,638569
HDFC Bank Limited,HDFCBANK,2017-06-06,1635.0,1643.8,1630.0,1638.95,1635.55,1250658
HDFC Bank Limited,HDFCBANK,2017-06-05,1633.7,1638.95,1625.0,1635.55,1634.25,724975
HDFC Bank Limited,HDFCBANK,2017-06-05,1642.0,1658.0,1642.0,1658.0,1642.05,169666
HDFC Bank Limited,HDFCBANK,2017-06-02,1642.1,1645.0,1642.05,1642.05,1645.25,126000
HDFC Bank Limited,HDFCBANK,2017-06-02,1634.0,1646.1,1626.2,1634.25,1628.6,803386
HDFC Bank Limited,HDFCBANK,2017-06-01,1645.25,1645.25,1645.25,1645.25,1646.0,16000
HDFC Bank Limited,HDFCBANK,2017-06-01,1639.0,1639.85,1620.55,1628.6,1636.2,839885
HDFC Bank Limited,HDFCBANK,2017-05-31,1625.0,1643.0,1623.15,1636.2,1629.05,1329728
HDFC Bank Limited,HDFCBANK,2017-05-30,1630.0,1633.5,1616.15,1629.05,1631.9,1108546
HDFC Bank Limited,HDFCBANK,2017-05-29,1619.8,1648.0,1617.65,1631.9,1626.0,1479085
HDFC Bank Limited,HDFCBANK,2017-05-29,1646.0,1646.0,1646.0,1646.0,1628.05,451322
HDFC Bank Limited,HDFCBANK,2017-05-26,1606.65,1632.0,1601.1,1626.0,1617.15,1360789
HDFC Bank Limited,HDFCBANK,2017-05-26,1628.05,1628.05,1628.05,1628.05,1570.0,250000
HDFC Bank Limited,HDFCBANK,2017-05-25,1570.0,1570.0,1570.0,1570.0,1585.0,48
HDFC Bank Limited,HDFCBANK,2017-05-25,1567.1,1629.4,1567.1,1617.15,1566.75,5022701
HDFC Bank Limited,HDFCBANK,2017-05-24,1569.05,1575.45,1562.0,1566.75,1569.1,866847
HDFC Bank Limited,HDFCBANK,2017-05-23,1580.0,1583.55,1565.0,1569.1,1576.0,770043
HDFC Bank Limited,HDFCBANK,2017-05-23,1590.25,1590.25,1585.0,1585.0,1580.0,300000
HDFC Bank Limited,HDFCBANK,2017-05-22,1565.1,1580.0,1563.1,1576.0,1561.25,715013
HDFC Bank Limited,HDFCBANK,2017-05-19,1580.0,1580.0,1580.0,1580.0,1597.0,865000
HDFC Bank Limited,HDFCBANK,2017-05-19,1559.5,1569.9,1545.25,1561.25,1557.1,713534
HDFC Bank Limited,HDFCBANK,2017-05-18,1549.0,1561.5,1548.1,1557.1,1557.15,776820
HDFC Bank Limited,HDFCBANK,2017-05-18,1596.0,1597.5,1596.0,1597.0,1600.0,680000
HDFC Bank Limited,HDFCBANK,2017-05-17,1558.8,1565.4,1551.5,1557.15,1559.65,868118
HDFC Bank Limited,HDFCBANK,2017-05-17,1600.0,1600.0,1600.0,1600.0,1583.0,50000
HDFC Bank Limited,HDFCBANK,2017-05-16,1555.0,1562.0,1548.25,1559.65,1553.4,897594
HDFC Bank Limited,HDFCBANK,2017-05-15,1550.0,1557.2,1542.25,1553.4,1551.65,701195
HDFC Bank Limited,HDFCBANK,2017-05-15,1583.0,1583.0,1583.0,1583.0,1567.0,342000
HDFC Bank Limited,HDFCBANK,2017-05-12,1545.9,1556.9,1536.2,1551.65,1546.4,1536901
HDFC Bank Limited,HDFCBANK,2017-05-11,1551.0,1560.0,1541.0,1546.4,1551.8,968936
HDFC Bank Limited,HDFCBANK,2017-05-10,1540.0,1555.0,1537.05,1551.8,1535.75,585561
HDFC Bank Limited,HDFCBANK,2017-05-09,1534.8,1545.6,1532.65,1535.75,1534.8,836459
HDFC Bank Limited,HDFCBANK,2017-05-08,1538.0,1540.0,1528.55,1534.8,1532.2,936813
HDFC Bank Limited,HDFCBANK,2017-05-05,1542.1,1542.9,1526.3,1532.2,1534.8,689474
HDFC Bank Limited,HDFCBANK,2017-05-04,1539.25,1542.9,1522.6,1534.8,1544.3,1282757
HDFC Bank Limited,HDFCBANK,2017-05-04,1567.0,1567.0,1567.0,1567.0,1565.0,31000
HDFC Bank Limited,HDFCBANK,2017-05-03,1554.25,1554.25,1539.35,1544.3,1540.6,626991
HDFC Bank Limited,HDFCBANK,2017-05-02,1547.0,1550.9,1530.35,1540.6,1546.5,1001760
HDFC Bank Limited,HDFCBANK,2017-04-28,1559.9,1559.9,1537.1,1546.5,1568.6,1359432
HDFC Bank Limited,HDFCBANK,2017-04-27,1546.1,1573.95,1546.1,1568.6,1550.65,4045105
HDFC Bank Limited,HDFCBANK,2017-04-26,1542.95,1553.0,1468.45,1550.65,1537.05,1948963
HDFC Bank Limited,HDFCBANK,2017-04-25,1535.05,1545.5,1529.6,1537.05,1533.05,2264445
HDFC Bank Limited,HDFCBANK,2017-04-24,1565.0,1565.0,1565.0,1565.0,1481.0,29891
HDFC Bank Limited,HDFCBANK,2017-04-24,1498.1,1539.0,1497.0,1533.05,1496.6,5051738
HDFC Bank Limited,HDFCBANK,2017-04-21,1466.0,1499.0,1453.3,1496.6,1462.15,4314508
HDFC Bank Limited,HDFCBANK,2017-04-20,1453.0,1466.05,1452.95,1462.15,1449.0,1445343
HDFC Bank Limited,HDFCBANK,2017-04-19,1447.0,1456.75,1438.0,1449.0,1447.3,1084536
HDFC Bank Limited,HDFCBANK,2017-04-18,1481.0,1481.0,1481.0,1481.0,1490.0,24000
HDFC Bank Limited,HDFCBANK,2017-04-18,1440.0,1455.0,1438.0,1447.3,1436.8,909715
HDFC Bank Limited,HDFCBANK,2017-04-17,1440.3,1443.8,1428.25,1436.8,1440.3,1784264
HDFC Bank Limited,HDFCBANK,2017-04-13,1443.0,1448.9,1437.05,1440.3,1443.7,1201059
HDFC Bank Limited,HDFCBANK,2017-04-13,1490.0,1490.0,1490.0,1490.0,1491.0,272000
HDFC Bank Limited,HDFCBANK,2017-04-12,1439.0,1449.95,1435.5,1443.7,1439.5,891273
HDFC Bank Limited,HDFCBANK,2017-04-12,1488.0,1491.0,1488.0,1491.0,1471.5,330000
HDFC Bank Limited,HDFCBANK,2017-04-11,1434.0,1441.2,1431.5,1439.5,1434.15,1089065
HDFC Bank Limited,HDFCBANK,2017-04-07,1431.05,1445.0,1428.6,1438.85,1438.5,1162090
HDFC Bank Limited,HDFCBANK,2017-04-06,1431.5,1443.0,1425.05,1438.5,1432.35,1531104
HDFC Bank Limited,HDFCBANK,2017-04-05,1435.25,1446.5,1427.55,1432.35,1433.2,1436020
HDFC Bank Limited,HDFCBANK,2017-04-05,1455.0,1471.5,1455.0,1471.5,1455.0,6760000
HDFC Bank Limited,HDFCBANK,2017-04-03,1446.0,1450.1,1426.0,1433.2,1442.55,1037263
HDFC Bank Limited,HDFCBANK,2017-03-31,1453.8,1454.0,1436.55,1442.55,1466.2,2412848
HDFC Bank Limited,HDFCBANK,2017-03-30,1428.0,1479.95,1425.05,1466.2,1428.6,8580273
HDFC Bank Limited,HDFCBANK,2017-03-30,1454.0,1455.0,1454.0,1455.0,1451.0,3766315
HDFC Bank Limited,HDFCBANK,2017-03-28,1455.0,1455.0,1451.0,1451.0,1426.0,200000
HDFC Bank Limited,HDFCBANK,2017-03-28,1418.3,1424.7,1413.1,1420.2,1409.85,2015350
HDFC Bank Limited,HDFCBANK,2017-03-27,1424.0,1424.0,1404.05,1409.85,1424.35,1466021
HDFC Bank Limited,HDFCBANK,2017-03-27,1440.0,1440.0,1420.0,1426.0,1460.0,6434395
HDFC Bank Limited,HDFCBANK,2017-03-24,1433.0,1434.45,1422.0,1424.35,1430.9,952591
HDFC Bank Limited,HDFCBANK,2017-03-24,1460.0,1460.0,1460.0,1460.0,1473.0,198708
HDFC Bank Limited,HDFCBANK,2017-03-23,1434.4,1435.0,1422.9,1430.9,1430.9,1230618
HDFC Bank Limited,HDFCBANK,2017-03-22,1427.7,1437.0,1425.8,1430.9,1440.95,1409136
HDFC Bank Limited,HDFCBANK,2017-03-21,1434.0,1445.0,1434.0,1440.95,1436.1,1389320
HDFC Bank Limited,HDFCBANK,2017-03-20,1470.0,1473.0,1470.0,1473.0,1470.0,244832
HDFC Bank Limited,HDFCBANK,2017-03-20,1426.65,1439.85,1425.95,1436.1,1425.85,2035586
HDFC Bank Limited,HDFCBANK,2017-03-17,1418.55,1427.5,1412.85,1425.85,1417.35,847616
HDFC Bank Limited,HDFCBANK,2017-03-17,1470.0,1473.0,1470.0,1470.0,1440.0,109851
HDFC Bank Limited,HDFCBANK,2017-03-16,1418.1,1422.85,1413.65,1417.35,1416.6,1245027
HDFC Bank Limited,HDFCBANK,2017-03-15,1410.95,1420.0,1410.55,1416.6,1410.7,1067965
HDFC Bank Limited,HDFCBANK,2017-03-14,1422.1,1424.15,1406.65,1410.7,1400.1,1788755
HDFC Bank Limited,HDFCBANK,2017-03-10,1440.0,1440.0,1440.0,1440.0,1420.0,50000
HDFC Bank Limited,HDFCBANK,2017-03-10,1395.0,1408.0,1393.15,1400.1,1394.2,1465176
HDFC Bank Limited,HDFCBANK,2017-03-09,1381.65,1398.7,1381.65,1394.2,1392.2,877329
HDFC Bank Limited,HDFCBANK,2017-03-09,1420.0,1420.0,1420.0,1420.0,1425.0,50000
HDFC Bank Limited,HDFCBANK,2017-03-08,1387.9,1399.2,1381.05,1392.2,1386.2,945536
HDFC Bank Limited,HDFCBANK,2017-03-08,1425.0,1425.0,1425.0,1425.0,1440.0,50000
HDFC Bank Limited,HDFCBANK,2017-03-07,1382.25,1387.5,1376.2,1386.2,1380.75,778219
HDFC Bank Limited,HDFCBANK,2017-03-06,1376.8,1389.9,1373.1,1380.75,1377.0,919781
HDFC Bank Limited,HDFCBANK,2017-03-03,1384.5,1384.5,1369.0,1377.0,1380.1,623206
HDFC Bank Limited,HDFCBANK,2017-03-02,1394.55,1396.0,1376.25,1380.1,1391.65,1150497
HDFC Bank Limited,HDFCBANK,2017-03-01,1396.45,1396.5,1386.4,1391.65,1390.1,870434
HDFC Bank Limited,HDFCBANK,2017-02-28,1440.0,1440.0,1440.0,1440.0,1460.0,50000
HDFC Bank Limited,HDFCBANK,2017-02-28,1392.9,1396.25,1384.5,1390.1,1393.6,732002
HDFC Bank Limited,HDFCBANK,2017-02-27,1390.9,1398.35,1378.6,1393.6,1394.3,1170344
HDFC Bank Limited,HDFCBANK,2017-02-27,1460.0,1460.0,1460.0,1460.0,1450.0,250000
HDFC Bank Limited,HDFCBANK,2017-02-23,1440.0,1450.0,1440.0,1450.0,1462.0,3314744
HDFC Bank Limited,HDFCBANK,2017-02-23,1403.8,1421.35,1387.05,1394.3,1399.15,8623745
HDFC Bank Limited,HDFCBANK,2017-02-22,1415.0,1418.8,1394.85,1399.15,1415.55,1324194
HDFC Bank Limited,HDFCBANK,2017-02-22,1462.0,1462.0,1462.0,1462.0,1471.0,900000
HDFC Bank Limited,HDFCBANK,2017-02-21,1406.05,1421.8,1397.4,1415.55,1409.1,1565007
HDFC Bank Limited,HDFCBANK,2017-02-20,1361.2,1415.45,1359.15,1409.1,1377.05,2641679
HDFC Bank Limited,HDFCBANK,2017-02-20,1471.0,1471.0,1471.0,1471.0,1440.0,40000
HDFC Bank Limited,HDFCBANK,2017-02-16,1323.0,1333.0,1320.25,1327.9,1322.2,1260925
HDFC Bank Limited,HDFCBANK,2017-02-15,1312.0,1324.0,1307.45,1322.2,1311.1,1531735
HDFC Bank Limited,HDFCBANK,2017-02-14,1314.0,1314.0,1304.0,1311.1,1310.2,611515
HDFC Bank Limited,HDFCBANK,2017-02-13,1307.55,1315.0,1299.2,1310.2,1303.6,698948
HDFC Bank Limited,HDFCBANK,2017-02-10,1298.35,1308.75,1298.0,1303.6,1297.65,824184
HDFC Bank Limited,HDFCBANK,2017-02-09,1309.4,1319.9,1292.55,1297.65,1305.65,1116344
HDFC Bank Limited,HDFCBANK,2017-02-08,1307.55,1318.7,1298.15,1305.65,1307.15,1235240
HDFC Bank Limited,HDFCBANK,2017-02-07,1316.0,1318.0,1302.95,1307.15,1314.1,852980
HDFC Bank Limited,HDFCBANK,2017-02-07,1490.5,1490.5,1490.5,1490.5,1524.0,1669
HDFC Bank Limited,HDFCBANK,2017-02-06,1312.3,1320.0,1311.45,1314.1,1311.05,1077555
HDFC Bank Limited,HDFCBANK,2017-02-06,1524.0,1524.0,1524.0,1524.0,1508.0,25000
HDFC Bank Limited,HDFCBANK,2017-02-03,1299.0,1316.0,1296.5,1311.05,1298.7,2001276
HDFC Bank Limited,HDFCBANK,2017-02-03,1510.0,1511.0,1508.0,1508.0,1460.0,458228
HDFC Bank Limited,HDFCBANK,2017-02-02,1305.7,1305.7,1292.6,1298.7,1305.7,1492909
HDFC Bank Limited,HDFCBANK,2017-02-01,1286.2,1310.0,1280.5,1305.7,1286.65,2727666
HDFC Bank Limited,HDFCBANK,2017-01-31,1282.4,1292.7,1277.0,1286.65,1284.95,1525260
HDFC Bank Limited,HDFCBANK,2017-01-30,1292.95,1292.95,1280.55,1284.95,1291.9,1329907
HDFC Bank Limited,HDFCBANK,2017-01-27,1299.0,1300.0,1288.0,1291.9,1290.6,1713059
HDFC Bank Limited,HDFCBANK,2017-01-25,1419.5,1460.0,1419.5,1460.0,1342.0,185706
HDFC Bank Limited,HDFCBANK,2017-01-25,1272.6,1295.6,1270.1,1290.6,1267.55,3909246
HDFC Bank Limited,HDFCBANK,2017-01-24,1250.0,1271.5,1249.25,1267.55,1244.65,2565466
HDFC Bank Limited,HDFCBANK,2017-01-23,1236.0,1250.0,1235.8,1244.65,1236.35,1198462
HDFC Bank Limited,HDFCBANK,2017-01-20,1236.0,1245.0,1230.0,1236.35,1236.3,3485517
HDFC Bank Limited,HDFCBANK,2017-01-19,1244.9,1244.9,1235.0,1236.3,1242.6,878103
HDFC Bank Limited,HDFCBANK,2017-01-18,1240.9,1256.0,1240.85,1242.6,1238.5,1153222
HDFC Bank Limited,HDFCBANK,2017-01-17,1247.0,1252.4,1236.25,1238.5,1247.65,889903
HDFC Bank Limited,HDFCBANK,2017-01-16,1233.5,1249.45,1232.8,1247.65,1232.5,941466
HDFC Bank Limited,HDFCBANK,2017-01-13,1345.0,1345.0,1342.0,1342.0,1340.0,503808
HDFC Bank Limited,HDFCBANK,2017-01-13,1239.0,1239.7,1228.6,1232.5,1235.0,962603
HDFC Bank Limited,HDFCBANK,2017-01-12,1235.0,1243.7,1225.5,1235.0,1234.0,729079
HDFC Bank Limited,HDFCBANK,2017-01-12,1355.0,1355.0,1340.0,1340.0,1286.5,197172
HDFC Bank Limited,HDFCBANK,2017-01-11,1217.5,1238.1,1215.5,1234.0,1214.35,2335851
HDFC Bank Limited,HDFCBANK,2017-01-10,1196.2,1216.8,1195.3,1214.35,1195.2,1386529
HDFC Bank Limited,HDFCBANK,2017-01-09,1198.85,1204.15,1192.15,1195.2,1193.65,1143449
HDFC Bank Limited,HDFCBANK,2017-01-06,1286.5,1286.5,1286.5,1286.5,1250.0,50000
HDFC Bank Limited,HDFCBANK,2017-01-06,1190.1,1198.4,1188.2,1193.65,1186.2,1381315
HDFC Bank Limited,HDFCBANK,2017-01-05,1250.0,1250.0,1250.0,1250.0,1301.0,325000
HDFC Bank Limited,HDFCBANK,2017-01-05,1189.0,1194.5,1183.1,1186.2,1185.5,1694096
HDFC Bank Limited,HDFCBANK,2017-01-04,1189.85,1192.0,1183.8,1185.5,1189.9,1741780
HDFC Bank Limited,HDFCBANK,2017-01-03,1200.8,1201.95,1185.75,1189.9,1197.1,961875
HDFC Bank Limited,HDFCBANK,2017-01-02,1209.45,1210.1,1192.05,1197.1,1206.2,927164
HDFC Bank Limited,HDFCBANK,2016-12-30,1200.0,1212.0,1199.95,1206.2,1205.2,1016635
HDFC Bank Limited,HDFCBANK,2016-12-29,1185.0,1207.95,1181.45,1205.2,1186.75,2025204
HDFC Bank Limited,HDFCBANK,2016-12-28,1189.9,1194.95,1181.0,1186.75,1185.2,1626960
HDFC Bank Limited,HDFCBANK,2016-12-26,1178.55,1186.1,1170.1,1175.0,1186.25,1045966
HDFC Bank Limited,HDFCBANK,2016-12-23,1301.0,1301.0,1301.0,1301.0,1301.0,26244
HDFC Bank Limited,HDFCBANK,2016-12-23,1171.0,1189.25,1169.3,1186.25,1173.1,1188129
HDFC Bank Limited,HDFCBANK,2016-12-22,1301.0,1301.0,1301.0,1301.0,1289.0,265563
HDFC Bank Limited,HDFCBANK,2016-12-22,1176.4,1179.5,1168.4,1173.1,1180.0,701429
HDFC Bank Limited,HDFCBANK,2016-12-21,1184.0,1185.0,1175.0,1180.0,1181.9,664719
HDFC Bank Limited,HDFCBANK,2016-12-21,1293.0,1293.0,1289.0,1289.0,1340.0,762000
HDFC Bank Limited,HDFCBANK,2016-12-20,1176.0,1185.0,1171.7,1181.9,1176.75,1047498
HDFC Bank Limited,HDFCBANK,2016-12-19,1176.8,1179.5,1170.5,1176.75,1182.3,790109
HDFC Bank Limited,HDFCBANK,2016-12-16,1176.6,1185.0,1171.55,1182.3,1176.6,813957
HDFC Bank Limited,HDFCBANK,2016-12-15,1164.2,1194.5,1163.6,1176.6,1175.7,1235372
HDFC Bank Limited,HDFCBANK,2016-12-14,1187.0,1188.0,1173.4,1175.7,1186.25,1078536
HDFC Bank Limited,HDFCBANK,2016-12-14,1340.0,1340.0,1340.0,1340.0,1360.0,113000
HDFC Bank Limited,HDFCBANK,2016-12-13,1180.25,1190.35,1178.55,1186.25,1184.45,631717
HDFC Bank Limited,HDFCBANK,2016-12-13,1360.0,1360.0,1360.0,1360.0,1390.0,359450
HDFC Bank Limited,HDFCBANK,2016-12-12,1192.0,1192.15,1181.1,1184.45,1198.3,856318
HDFC Bank Limited,HDFCBANK,2016-12-09,1199.1,1202.3,1188.0,1198.3,1199.5,1096988
HDFC Bank Limited,HDFCBANK,2016-12-08,1187.0,1205.55,1187.0,1199.5,1181.6,1077424
HDFC Bank Limited,HDFCBANK,2016-12-07,1390.0,1390.0,1390.0,1390.0,1390.0,224091
HDFC Bank Limited,HDFCBANK,2016-12-07,1201.85,1205.9,1167.0,1181.6,1194.45,1407048
HDFC Bank Limited,HDFCBANK,2016-12-06,1195.0,1202.85,1190.2,1194.45,1196.35,675741
HDFC Bank Limited,HDFCBANK,2016-12-06,1390.0,1390.0,1390.0,1390.0,1340.0,480862
HDFC Bank Limited,HDFCBANK,2016-12-05,1187.6,1198.95,1176.5,1196.35,1189.1,1137984
HDFC Bank Limited,HDFCBANK,2016-12-02,1340.0,1340.0,1340.0,1340.0,1382.0,60000
HDFC Bank Limited,HDFCBANK,2016-12-02,1189.0,1201.95,1176.7,1189.1,1197.25,1015668
HDFC Bank Limited,HDFCBANK,2016-12-01,1202.3,1207.9,1193.0,1197.25,1199.6,1119246
HDFC Bank Limited,HDFCBANK,2016-11-30,1185.0,1202.0,1181.1,1199.6,1178.75,1610710
HDFC Bank Limited,HDFCBANK,2016-11-29,1184.7,1192.95,1176.5,1178.75,1184.45,983161
HDFC Bank Limited,HDFCBANK,2016-11-28,1180.25,1198.9,1178.1,1184.45,1189.3,1032545
HDFC Bank Limited,HDFCBANK,2016-11-25,1169.0,1193.2,1158.0,1189.3,1165.5,1492490
HDFC Bank Limited,HDFCBANK,2016-11-25,1382.0,1382.0,1382.0,1382.0,1415.0,140000
HDFC Bank Limited,HDFCBANK,2016-11-24,1184.0,1186.3,1160.9,1165.5,1184.75,3821499
HDFC Bank Limited,HDFCBANK,2016-11-23,1203.0,1203.0,1181.1,1184.75,1198.05,883173
HDFC Bank Limited,HDFCBANK,2016-11-22,1206.8,1206.8,1189.35,1198.05,1198.7,2504446
HDFC Bank Limited,HDFCBANK,2016-11-21,1219.5,1219.5,1188.35,1198.7,1211.4,1388130
HDFC Bank Limited,HDFCBANK,2016-11-18,1236.0,1236.0,1209.2,1211.4,1230.2,1719975
HDFC Bank Limited,HDFCBANK,2016-11-17,1238.3,1248.9,1225.15,1230.2,1244.35,1203906
HDFC Bank Limited,HDFCBANK,2016-11-16,1268.0,1268.0,1240.05,1244.35,1254.75,2161936
HDFC Bank Limited,HDFCBANK,2016-11-16,1420.0,1421.0,1415.0,1415.0,1443.0,39000
HDFC Bank Limited,HDFCBANK,2016-11-15,1277.5,1289.0,1250.65,1254.75,1275.8,3128131
HDFC Bank Limited,HDFCBANK,2016-11-15,1443.0,1443.0,1443.0,1443.0,1470.0,100000
HDFC Bank Limited,HDFCBANK,2016-11-11,1274.0,1282.0,1265.6,1275.8,1278.55,1784830
HDFC Bank Limited,HDFCBANK,2016-11-10,1263.75,1283.0,1254.1,1278.55,1251.25,2675184
HDFC Bank Limited,HDFCBANK,2016-11-09,1200.0,1257.4,1195.35,1251.25,1254.3,3411367
HDFC Bank Limited,HDFCBANK,2016-11-08,1251.1,1258.0,1240.1,1254.3,1249.45,1337041
HDFC Bank Limited,HDFCBANK,2016-11-07,1252.0,1254.85,1240.0,1249.45,1243.7,1417848
HDFC Bank Limited,HDFCBANK,2016-11-04,1252.8,1252.8,1241.75,1243.7,1254.95,1433730
HDFC Bank Limited,HDFCBANK,2016-11-03,1245.0,1260.0,1231.75,1254.95,1246.15,1578953
HDFC Bank Limited,HDFCBANK,2016-11-02,1251.1,1255.7,1241.5,1246.15,1259.8,1618608
HDFC Bank Limited,HDFCBANK,2016-11-01,1256.0,1263.85,1247.05,1259.8,1253.3,850604
HDFC Bank Limited,HDFCBANK,2016-10-30,1263.3,1263.3,1250.0,1253.3,1259.05,191554
HDFC Bank Limited,HDFCBANK,2016-10-28,1254.5,1261.9,1240.1,1259.05,1252.1,1330134
HDFC Bank Limited,HDFCBANK,2016-10-27,1239.0,1257.0,1224.15,1252.1,1239.3,2905965
HDFC Bank Limited,HDFCBANK,2016-10-26,1243.35,1265.0,1235.05,1239.3,1250.3,1341635
HDFC Bank Limited,HDFCBANK,2016-10-25,1268.0,1268.0,1244.05,1250.3,1263.55,1375449
HDFC Bank Limited,HDFCBANK,2016-10-24,1271.75,1276.85,1261.05,1263.55,1270.7,813916
HDFC Bank Limited,HDFCBANK,2016-10-21,1256.0,1272.95,1250.0,1270.7,1255.5,989102
HDFC Bank Limited,HDFCBANK,2016-10-20,1260.25,1267.45,1251.0,1255.5,1258.35,800089
HDFC Bank Limited,HDFCBANK,2016-10-19,1261.1,1263.0,1248.0,1258.35,1257.85,761226
HDFC Bank Limited,HDFCBANK,2016-10-18,1243.2,1260.0,1239.0,1257.85,1237.7,652742
HDFC Bank Limited,HDFCBANK,2016-10-17,1265.5,1266.4,1232.75,1237.7,1261.8,1283840
HDFC Bank Limited,HDFCBANK,2016-10-14,1265.75,1268.0,1254.0,1261.8,1262.75,1016779
HDFC Bank Limited,HDFCBANK,2016-10-13,1279.0,1279.0,1256.45,1262.75,1284.35,1129839
HDFC Bank Limited,HDFCBANK,2016-10-10,1285.0,1287.9,1278.75,1284.35,1280.6,1179828
HDFC Bank Limited,HDFCBANK,2016-10-07,1284.0,1287.75,1276.25,1280.6,1281.95,834366
HDFC Bank Limited,HDFCBANK,2016-10-06,1287.1,1295.6,1279.05,1281.95,1286.1,723928
HDFC Bank Limited,HDFCBANK,2016-10-05,1298.0,1300.05,1276.4,1286.1,1289.55,911755
HDFC Bank Limited,HDFCBANK,2016-10-04,1288.6,1295.0,1282.3,1289.55,1287.2,693878
HDFC Bank Limited,HDFCBANK,2016-10-03,1281.0,1289.9,1276.4,1287.2,1272.85,975137
HDFC Bank Limited,HDFCBANK,2016-09-30,1277.1,1281.0,1267.4,1272.85,1277.5,1034607
HDFC Bank Limited,HDFCBANK,2016-09-30,1470.0,1470.0,1470.0,1470.0,1495.0,48900
HDFC Bank Limited,HDFCBANK,2016-09-29,1297.95,1306.0,1267.95,1277.5,1295.25,4112503
HDFC Bank Limited,HDFCBANK,2016-09-28,1491.0,1495.0,1491.0,1495.0,1505.0,125000
HDFC Bank Limited,HDFCBANK,2016-09-28,1299.9,1300.0,1289.0,1295.25,1298.05,1247413
HDFC Bank Limited,HDFCBANK,2016-09-27,1299.0,1306.15,1294.85,1298.05,1296.15,1014203
HDFC Bank Limited,HDFCBANK,2016-09-26,1505.0,1505.0,1505.0,1505.0,1500.0,250000
HDFC Bank Limited,HDFCBANK,2016-09-26,1306.1,1308.9,1293.7,1296.15,1312.7,1394193
HDFC Bank Limited,HDFCBANK,2016-09-23,1306.05,1318.45,1301.5,1312.7,1306.9,1219202
HDFC Bank Limited,HDFCBANK,2016-09-22,1305.0,1316.95,1300.55,1306.9,1293.0,1638950
HDFC Bank Limited,HDFCBANK,2016-09-20,1292.65,1295.0,1284.05,1288.45,1290.15,944562
HDFC Bank Limited,HDFCBANK,2016-09-19,1297.0,1302.5,1288.0,1290.15,1297.85,1473708
HDFC Bank Limited,HDFCBANK,2016-09-16,1283.8,1304.5,1283.8,1297.85,1279.6,1631454
HDFC Bank Limited,HDFCBANK,2016-09-15,1500.0,1500.0,1500.0,1500.0,1550.0,13176
HDFC Bank Limited,HDFCBANK,2016-09-15,1272.0,1283.9,1269.85,1279.6,1269.45,875453
HDFC Bank Limited,HDFCBANK,2016-09-14,1275.0,1277.0,1265.4,1269.45,1279.9,962377
HDFC Bank Limited,HDFCBANK,2016-09-12,1274.7,1284.4,1271.5,1279.9,1290.4,996432
HDFC Bank Limited,HDFCBANK,2016-09-09,1290.0,1294.5,1278.3,1290.4,1289.4,1003442
HDFC Bank Limited,HDFCBANK,2016-09-08,1290.0,1295.25,1283.6,1289.4,1286.75,726345
HDFC Bank Limited,HDFCBANK,2016-09-08,1550.0,1550.0,1550.0,1550.0,1585.0,25000
HDFC Bank Limited,HDFCBANK,2016-09-07,1430.4,1585.0,1430.4,1585.0,1470.0,118341
HDFC Bank Limited,HDFCBANK,2016-09-07,1301.0,1305.0,1283.1,1286.75,1300.4,1004111
HDFC Bank Limited,HDFCBANK,2016-09-06,1290.05,1303.9,1290.05,1300.4,1285.1,1377221
HDFC Bank Limited,HDFCBANK,2016-09-02,1285.5,1289.0,1281.15,1285.1,1283.7,988797
HDFC Bank Limited,HDFCBANK,2016-09-01,1288.0,1290.0,1275.4,1283.7,1291.2,1306169
HDFC Bank Limited,HDFCBANK,2016-08-31,1269.0,1295.0,1265.5,1291.2,1268.65,2790341
HDFC Bank Limited,HDFCBANK,2016-08-30,1245.1,1270.5,1243.95,1268.65,1238.1,2466902
HDFC Bank Limited,HDFCBANK,2016-08-29,1255.5,1255.5,1236.2,1238.1,1257.1,736046
HDFC Bank Limited,HDFCBANK,2016-08-26,1260.0,1261.9,1253.9,1257.1,1258.55,630284
HDFC Bank Limited,HDFCBANK,2016-08-25,1264.0,1266.8,1254.3,1258.55,1261.8,2182472
HDFC Bank Limited,HDFCBANK,2016-08-24,1252.05,1264.2,1247.05,1261.8,1251.45,1392734
HDFC Bank Limited,HDFCBANK,2016-08-23,1251.0,1254.0,1246.05,1251.45,1250.3,1328631
HDFC Bank Limited,HDFCBANK,2016-08-22,1245.05,1254.45,1241.0,1250.3,1247.1,1375323
HDFC Bank Limited,HDFCBANK,2016-08-19,1250.0,1250.0,1241.45,1247.1,1252.5,1027659
HDFC Bank Limited,HDFCBANK,2016-08-18,1238.0,1254.9,1234.55,1252.5,1234.9,1527914
HDFC Bank Limited,HDFCBANK,2016-08-17,1233.4,1237.5,1226.0,1234.9,1227.3,1377759
HDFC Bank Limited,HDFCBANK,2016-08-16,1233.0,1238.45,1213.8,1227.3,1228.7,867142
HDFC Bank Limited,HDFCBANK,2016-08-12,1231.05,1235.0,1219.4,1228.7,1228.25,1160374
